date,product,category,price,quantity,revenue
02-08-2022,Smartphone,Electronics,600,10,6000
03-08-2022,Speaker,Electronics,80,25,2000
04-08-2022,Coat,Clothing,100,15,1500
05-08-2022,Smartwatch,Accessories,200,10,2000
06-08-2022,Smartphone,Electronics,600,7,4200
07-08-2022,Backpack,Bags,50,18,900
08-08-2022,T-Shirt,Clothing,20,35,700
09-08-2022,Jeans,Clothing,50,10,500
10-08-2022,Watch,Accessories,150,12,1800
11-08-2022,Hoodie,Clothing,40,20,800
12-08-2022,Smartphone,Electronics,600,12,7200
13-08-2022,Sneakers,Shoes,80,15,1200
14-08-2022,Wallet,Accessories,30,40,1200
15-08-2022,Smartwatch,Accessories,200,5,1000
16-08-2022,Smartphone,Electronics,600,6,3600
17-08-2022,Coat,Clothing,100,8,800
18-08-2022,Speaker,Electronics,80,20,1600
19-08-2022,Backpack,Bags,50,15,750
20-08-2022,T-Shirt,Clothing,20,20,400
21-08-2022,Tablet,Electronics,400,6,2400
22-08-2022,Smartphone,Electronics,600,7,4200
23-08-2022,Sneakers,Shoes,80,12,960
24-08-2022,T-Shirt,Clothing,20,25,500
25-08-2022,Smartwatch,Accessories,200,8,1600
26-08-2022,Jeans,Clothing,50,15,750
27-08-2022,Smartphone,Electronics,600,9,5400
28-08-2022,Watch,Accessories,150,10,1500
29-08-2022,Coat,Clothing,100,5,500
30-08-2022,Headphones,Electronics,100,15,1500
31-08-2022,Smartphone,Electronics,600,11,6600
01-09-2022,Hoodie,Clothing,40,20,800
02-09-2022,Smartphone,Electronics,600,10,6000
03-09-2022,Speaker,Electronics,80,22,1760
04-09-2022,Coat,Clothing,100,18,1800
05-09-2022,Smartwatch,Accessories,200,12,2400
06-09-2022,Smartphone,Electronics,600,7,4200
07-09-2022,Backpack,Bags,50,20,1000
08-09-2022,T-Shirt,Clothing,20,30,600
09-09-2022,Jeans,Clothing,50,25,1250
10-09-2022,Watch,Accessories,150,15,2250
11-09-2022,Hoodie,Clothing,40,15,600
12-09-2022,Smartphone,Electronics,600,12,7200
13-09-2022,Sneakers,Shoes,80,8,640
14-09-2022,Wallet,Accessories,30,35,1050
15-09-2022,Smartwatch,Accessories,200,9,1800
16-09-2022,Smartphone,Electronics,600,6,3600
17-09-2022,Coat,Clothing,100,8,800
18-09-2022,Speaker,Electronics,80,20,1600
19-09-2022,Backpack,Bags,50,15,750
20-09-2022,T-Shirt,Clothing,20,25,500
21-09-2022,Smartphone,Electronics,600,7,4200
22-09-2022,Sneakers,Shoes,80,12,960
23-09-2022,T-Shirt,Clothing,20,15,300
24-09-2022,Smartwatch,Accessories,200,8,1600
25-09-2022,Jeans,Clothing,50,20,1000
26-09-2022,Smartphone,Electronics,600,9,5400
27-09-2022,Watch,Accessories,150,5,750
28-09-2022,Coat,Clothing,100,5,500
29-09-2022,Headphones,Electronics,100,10,1000
30-09-2022,Smartphone,Electronics,600,11,6600
01-10-2022,Hoodie,Clothing,40,30,1200
01-10-2022,Hoodie,Clothing,40,30,1200
02-10-2022,Smartphone,Electronics,600,10,6000
03-10-2022,Speaker,Electronics,80,25,2000
04-10-2022,Coat,Clothing,100,15,1500
05-10-2022,Smartwatch,Accessories,200,10,2000
06-10-2022,Smartphone,Electronics,600,7,4200
07-10-2022,Backpack,Bags,50,18,900
08-10-2022,T-Shirt,Clothing,20,35,700
09-10-2022,Jeans,Clothing,50,10,500
10-10-2022,Watch,Accessories,150,12,1800
11-10-2022,Hoodie,Clothing,40,20,800
12-10-2022,Smartphone,Electronics,600,12,7200
13-10-2022,Sneakers,Shoes,80,15,1200
14-10-2022,Wallet,Accessories,30,40,1200
15-10-2022,Smartwatch,Accessories,200,5,1000
16-10-2022,Smartphone,Electronics,600,6,3600
17-10-2022,Coat,Clothing,100,8,800
18-10-2022,Speaker,Electronics,80,20,1600
19-10-2022,Backpack,Bags,50,15,750
20-10-2022,T-Shirt,Clothing,20,20,400
21-10-2022,Tablet,Electronics,400,6,2400
22-10-2022,Smartphone,Electronics,600,7,4200
23-10-2022,Sneakers,Shoes,80,12,960
24-10-2022,T-Shirt,Clothing,20,25,500
25-10-2022,Smartwatch,Accessories,200,8,1600
26-10-2022,Jeans,Clothing,50,15,750
27-10-2022,Smartphone,Electronics,600,9,5400
28-10-2022,Watch,Accessories,150,10,1500
29-10-2022,Coat,Clothing,100,5,500
30-10-2022,Headphones,Electronics,100,15,1500
31-10-2022,Smartphone,Electronics,600,11,6600
01-11-2022,Hoodie,Clothing,40,20,800
02-11-2022,Smartphone,Electronics,600,10,6000
03-11-2022,Speaker,Electronics,80,22,1760
04-11-2022,Coat,Clothing,100,18,1800
05-11-2022,Smartwatch,Accessories,200,12,2400
06-11-2022,Smartphone,Electronics,600,7,4200
07-11-2022,Backpack,Bags,50,20,1000
08-11-2022,T-Shirt,Clothing,20,30,600
09-11-2022,Jeans,Clothing,50,25,1250
10-11-2022,Watch,Accessories,150,15,2250
10-11-2022,Hoodie,Clothing,40,15,600
11-11-2022,Smartphone,Electronics,600,12,7200
12-11-2022,Sneakers,Shoes,80,8,640
13-11-2022,Wallet,Accessories,,35,0
14-11-2022,Smartwatch,Accessories,200,9,1800
15-11-2022,Smartphone,Electronics,600,6,3600
16-11-2022,Coat,Clothing,100,8,800
17-11-2022,Speaker,Electronics,80,20,1600
18-11-2022,Backpack,Bags,50,15,750
19-11-2022,T-Shirt,Clothing,20,25,500
20-11-2022,Smartphone,Electronics,600,7,4200
21-11-2022,Sneakers,Shoes,80,12,960
22-11-2022,T-Shirt,Clothing,20,15,300
23-11-2022,Smartwatch,Accessories,200,8,1600
24-11-2022,Jeans,Clothing,50,20,1000
25-11-2022,Smartphone,Electronics,600,9,5400
26-11-2022,Watch,Accessories,150,5,750
27-11-2022,Coat,Clothing,100,5,500
28-11-2022,Headphones,Electronics,100,10,1000
29-11-2022,Smartphone,Electronics,600,11,6600
30-11-2022,Hoodie,Clothing,40,30,1200
01-12-2022,Smartphone,Electronics,600,10,6000
02-12-2022,Speaker,Electronics,80,25,2000
03-12-2022,Coat,Clothing,100,15,1500
04-12-2022,Smartwatch,Accessories,200,10,2000
05-12-2022,Smartphone,Electronics,600,7,4200
06-12-2022,Backpack,Bgas,50,18,900
07-12-2022,T-Shirt,Clothing,20,35,700
08-12-2022,Jeans,Clothing,50,10,500
09-12-2022,Watch,Accessories,150,12,1800
10-12-2022,Hoodie,Clothing,40,20,800
11-12-2022,Smartphone,Electronics,600,12,7200
12-12-2022,Sneakers,Shoes,80,15,1200
13-12-2022,Wallet,Accessories,30,40,1200
14-12-2022,Smartwatch,Accessories,200,5,1000
15-12-2022,Smartphone,Electronics,600,6,3600
16-12-2022,Coat,Clothing,100,8,800
17-12-2022,Speaker,Electronics,80,20,1600
18-12-2022,Backpack,Bags,50,15,750
19-12-2022,T-Shirt,Clothing,20,20,400
20-12-2022,Tablet,Electronics,400,6,2400
21-12-2022,Smartphone,Electronics,600,7,4200
22-12-2022,Sneakers,Shoeses,80,12,960
23-12-2022,T-Shirt,Clothing,20,25,500
24-12-2022,Smartwatch,Accessories,200,8,1600
25-12-2022,Jeans,Clothing,50,15,750
26-12-2022,Smartphone,Electronics,600,9,5400
27-12-2022,Watch,Accessories,150,5,750
28-12-2022,Coat,Clothing,100,5,500
29-12-2022,Headphones,Electronics,100,10,1000
30-12-2022,Smartphone,Electronics,600,11,6600
31-12-2022,Hoodie,Clothing,40,30,1200
01-01-2023,Smartphone,Electronics,600,10,6000
01-01-2023,Laptop,Electronics,1200,14,16800
02-01-2023,T-Shirt,Clothing,20,56,1120
03-01-2023,Headphones,Electronics,100,23,2300
04-01-2023,T-Shirt,Clothing,20,33,660
05-01-2023,Watch,Accessories,150,15,2250
06-01-2023,Smartphone,Electronics,600,15,9000
06-01-2023,Tablet,Electronics,400,13,5200
07-01-2023,Coat,Clothing,100,12,1200
08-01-2023,Smartwatch,Accessories,200,13,2600
09-01-2023,Speaker,Electronics,80,16,1280
10-01-2023,Backpack,Bags,50,23,1150
11-01-2023,Hoodie,Clothing,40,40,1600
12-01-2023,Smartphone,Electronics,600,16,9600
13-01-2023,Sneakers,Shoes,80,17,1360
14-01-2023,Wallet,Accessories,30,49,1470
15-01-2023,Jeans,Clothing,50,25,1250
16-01-2023,Smartwatch,Accessories,200,14,2800
17-01-2023,Smartphone,Electronics,600,14,8400
18-01-2023,Coat,Clothing,100,9,900
19-01-2023,Speaker,Electronics,80,25,2000
20-01-2023,Backpack,Bags,50,16,800
21-01-2023,T-Shirt,Clothing,20,50,1000
22-01-2023,Smartphone,Electronics,600,15,9000
23-01-2023,Tablet,Electronics,400,11,4400
24-01-2023,Hoodie,Clothing,40,24,960
25-01-2023,Smartwatch,Accessories,200,11,2200
26-01-2023,Sneakers,Shoes,80,19,1520
27-01-2023,Coat,Clothing,100,13,1300
28-01-2023,Speaker,Electronics,80,17,1360
29-01-2023,T-Shirt,Clothing,20,34,680
30-01-2023,Smartphone,Electronics,600,17,10200
31-01-2023,Jeans,Clothing,50,24,1200
01-02-2023,T-Shirt,Clothing,20,44,880
02-02-2023,Smartphone,Electronics,600,12,7200
03-02-2023,Headphones,Electronics,100,26,2600
04-02-2023,Coat,Clothing,100,14,1400
05-02-2023,Watch,Accessories,150,9,1350
06-02-2023,Smartphone,Electronics,600,17,10200
07-02-2023,Speaker,Electronics,80,28,2240
08-02-2023,Backpack,Bags,50,30,1500
09-02-2023,Smartwatch,Accessories,200,9,1800
10-02-2023,Jeans,Clothing,50,18,900
11-02-2023,T-Shirt,Clothing,20,28,560
12-02-2023,Smartphone,Electronics,600,17,10200
13-02-2023,Sneakers,Shoes,80,12,960
14-02-2023,Wallet,Accessories,30,31,930
15-02-2023,Tablet,Electronics,400,7,2800
16-02-2023,Smartwatch,Accessories,200,17,3400
17-02-2023,Smartphone,Electronics,600,9,5400
18-02-2023,Hoodie,Clothing,40,27,1080
19-02-2023,Speaker,Electronics,80,21,1680
20-02-2023,Backpack,Bags,50,23,1150
21-02-2023,Sneakers,Shoes,80,11,880
22-02-2023,Smartphone,Electronics,600,18,10800
23-02-2023,Coat,Clothing,100,8,800
24-02-2023,T-Shirt,Clothing,20,23,460
25-02-2023,Smartwatch,Accessories,200,20,4000
26-02-2023,Jeans,Clothing,50,27,1350
27-02-2023,Smartphone,Electronics,600,12,7200
28-02-2023,Watch,Accessories,150,15,2250
01-03-2023,T-Shirt,Clothing,20,50,1000
02-03-2023,Smartphone,Electronics,600,20,12000
03-03-2023,Headphones,Electronics,100,19,1900
04-03-2023,Coat,Clothing,100,22,2200
05-03-2023,Smartwatch,Accessories,200,17,3400
06-03-2023,Smartphone,Electronics,600,14,8400
07-03-2023,Speaker,Electronics,80,16,1280
08-03-2023,Backpack,Bags,50,24,1200
09-03-2023,Jeans,Clothing,50,27,1350
10-03-2023,T-Shirt,Clothing,20,37,740
11-03-2023,Hoodie,Clothing,40,14,560
12-03-2023,Smartphone,Electronics,600,13,7800
13-03-2023,Sneakers,Shoes,80,17,1360
14-03-2023,Wallet,Accessories,30,43,1290
15-03-2023,Smartwatch,Accessories,200,12,2400
16-03-2023,Smartphone,Electronics,600,15,9000
17-03-2023,Coat,Clothing,100,12,1200
18-03-2023,Speaker,Electronics,80,29,2320
19-03-2023,Backpack,Bags,50,17,850
20-03-2023,T-Shirt,Clothing,20,29,580
21-03-2023,Tablet,Electronics,400,6,2400
22-03-2023,Smartphone,Electronics,600,14,8400
23-03-2023,Sneakers,Shoes,80,16,1280
24-03-2023,T-Shirt,Clothing,20,22,440
25-03-2023,Smartwatch,Accessories,200,14,2800
26-03-2023,Jeans,Clothing,50,25,1250
27-03-2023,Smartphone,Electronics,600,12,7200
28-03-2023,Watch,Accessories,150,19,2850
29-03-2023,Coat,Clothing,100,15,1500
30-03-2023,Headphones,Electronics,100,12,1200
31-03-2023,Smartphone,Electronics,600,17,10200
01-04-2023,Hoodie,Clothing,40,33,1320
02-04-2023,Smartphone,Electronics,600,11,6600
03-04-2023,Speaker,Electronics,80,31,2480
04-04-2023,Coat,Clothing,100,19,1900
05-04-2023,Smartwatch,Accessories,200,10,2000
06-04-2023,Smartphone,Electronics,600,7,4200
07-04-2023,Backpack,Bags,50,18,900
08-04-2023,T-Shirt,Clothing,20,35,700
09-04-2023,Jeans,Clothing,50,10,500
10-04-2023,Watch,Accessories,150,12,1800
11-04-2023,Hoodie,Clothing,40,20,800
12-04-2023,Smartphone,Electronics,600,12,7200
13-04-2023,Sneakers,Shoes,80,8,640
14-04-2023,Wallet,Accessories,30,30,900
15-04-2023,Smartwatch,Accessories,200,5,1000
16-04-2023,Smartphone,Electronics,600,6,3600
17-04-2023,Coat,Clothing,100,8,800
18-04-2023,Speaker,Electronics,80,20,1600
19-04-2023,Backpack,Bags,50,15,750
20-04-2023,T-Shirt,Clothing,20,20,400
21-04-2023,Tablet,Electronics,400,6,2400
22-04-2023,Smartphone,Electronics,600,7,4200
23-04-2023,Sneakers,Shoes,80,12,960
24-04-2023,T-Shirt,Clothing,20,25,500
25-04-2023,Smartwatch,Accessories,200,8,1600
26-04-2023,Jeans,Clothing,50,15,750
27-04-2023,Smartphone,Electronics,600,9,5400
28-04-2023,Watch,Accessories,150,10,1500
29-04-2023,Coat,Clothing,100,5,500
30-04-2023,Headphones,Electronics,100,15,1500
01-05-2023,Smartphone,Electronics,600,0,0
02-05-2023,Hoodie,Clothing,40,20,800
03-05-2023,Smartphone,Electronics,600,10,6000
04-05-2023,Speaker,Electronics,80,22,1760
05-05-2023,Coat,Clothing,100,18,1800
06-05-2023,Smartwatch,Accessories,200,12,2400
07-05-2023,Smartphone,Electronics,600,7,4200
08-05-2023,Backpack,Bags,50,20,1000
09-05-2023,T-Shirt,Clothing,20,30,600
10-05-2023,Jeans,Clothing,50,25,1250
11-05-2023,Watch,Accessories,150,15,2250
12-05-2023,Hoodie,Clothing,40,15,600
13-05-2023,Smartphone,Electronics,600,12,7200
14-05-2023,Sneakers,Shoes,80,8,640
15-05-2023,Wallet,Accessories,30,35,1050
16-05-2023,Smartwatch,Accessories,200,9,1800
17-05-2023,Smartphone,Electronics,600,6,3600
18-05-2023,Coat,Clothing,100,8,800
19-05-2023,Speaker,Electronics,80,20,1600
20-05-2023,Backpack,Bags,50,15,750
21-05-2023,T-Shirt,Clothing,20,25,500
22-05-2023,Smartphone,Electronics,600,7,4200
23-05-2023,Sneakers,Shoes,80,12,960
24-05-2023,T-Shirt,Clothing,20,15,300
25-05-2023,Smartwatch,Accessories,200,8,1600
26-05-2023,Jeans,Clothing,50,20,1000
27-05-2023,Smartphone,Electronics,600,9,5400
28-05-2023,Watch,Accessories,150,5,750
29-05-2023,Coat,Clothing,100,5,500
30-05-2023,Headphones,Electronics,100,10,1000
31-05-2023,Smartphone,Electronics,600,11,6600
01-06-2023,Hoodie,Clothing,40,30,1200
02-06-2023,Smartphone,Electronics,600,10,6000
03-06-2023,Speaker,Electronics,80,25,2000
04-06-2023,Coat,Clothing,100,15,1500
05-06-2023,Smartwatch,Accessories,200,10,2000
06-06-2023,Smartphone,Electronics,600,7,4200
07-06-2023,Backpack,Bags,50,18,900
08-06-2023,T-Shirt,Clothing,20,35,700
09-06-2023,Jeans,Clothing,50,10,500
10-06-2023,Watch,Accessories,150,12,1800
11-06-2023,Hoodie,Clothing,40,20,800
12-06-2023,Smartphone,Electronics,600,12,7200
13-06-2023,Sneakers,Shoes,80,15,1200
14-06-2023,Wallet,Accessories,30,40,1200
15-06-2023,Smartwatch,Accessories,200,5,1000
16-06-2023,Smartphone,Electronics,600,6,3600
17-06-2023,Coat,Clothing,100,8,800
18-06-2023,Speaker,Electronics,80,20,1600
19-06-2023,Backpack,Bags,50,15,750
20-06-2023,T-Shirt,Clothing,20,20,400
21-06-2023,Tablet,Electronics,400,6,2400
22-06-2023,Smartphone,Electronics,600,7,4200
23-06-2023,Sneakers,Shoes,80,12,960
24-06-2023,T-Shirt,Clothing,20,25,500
25-06-2023,Smartwatch,Accessories,200,8,1600
26-06-2023,Jeans,Clothing,50,15,750
27-06-2023,Smartphone,Electronics,600,9,5400
28-06-2023,Watch,Accessories,150,10,1500
29-06-2023,Coat,Clothing,100,5,500
30-06-2023,Headphones,Electronics,100,15,1500
01-07-2023,Smartphone,Electronics,600,11,6600
02-07-2023,Hoodie,Clothing,40,20,800
03-07-2023,Smartphone,Electronics,600,10,6000
04-07-2023,Speaker,Electronics,80,22,1760
05-07-2023,Coat,Clothing,100,18,1800
06-07-2023,Smartwatch,Accessories,200,12,2400
07-07-2023,Smartphone,Electronics,600,7,4200
08-07-2023,Backpack,Bags,50,20,1000
09-07-2023,T-Shirt,Clothing,20,30,600
10-07-2023,Jeans,Clothing,50,25,1250
11-07-2023,Watch,Accessories,,15,0
12-07-2023,Hoodie,Clothing,40,15,600
13-07-2023,Smartphone,Electronics,600,12,7200
14-07-2023,Sneakers,Shoes,80,8,640
15-07-2023,Wallet,Accessories,30,35,1050
16-07-2023,Smartwatch,Accessories,200,9,1800
17-07-2023,Smartphone,Electronics,600,6,3600
18-07-2023,Coat,Clothing,100,8,800
19-07-2023,Speaker,Electronics,80,20,1600
20-07-2023,Backpack,Bags,50,15,750
21-07-2023,T-Shirt,Clothing,20,25,500
22-07-2023,Smartphone,Electronics,600,7,4200
23-07-2023,Sneakers,Shoes,80,12,960
24-07-2023,T-Shirt,Clothing,20,15,300
25-07-2023,Smartwatch,Accessories,200,8,1600
